id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
3647,THE VILLAGE OF HARLEM....NEW YORK !,4632,Elisabeth,Manhattan,Harlem,Private room,150,3,0,1,365
7750,Huge 2 BR Upper East  Cental Park,17985,Sing,Manhattan,East Harlem,Entire home/apt,190,7,0,2,249
8700,Magnifique Suite au N de Manhattan - vue Cloitres,26394,Claude & Sophie,Manhattan,Inwood,Private room,80,4,0,1,0
11452,Clean and Quiet in Brooklyn,7355,Vt,Brooklyn,Bedford-Stuyvesant,Private room,35,60,0,1,365
11943,Country space in the city,45445,Harriet,Brooklyn,Flatbush,Private room,150,1,0,1,365
51438,1 Bedroom in 2 Bdrm Apt- Upper East,236421,Jessica,Manhattan,Upper East Side,Private room,130,14,0,2,0
54466,Beautiful Uptown Manhattan apartmnt,253385,Douglas,Manhattan,Harlem,Private room,200,30,0,1,365
63588,LL3,295128,Carol Gloria,Bronx,Clason Point,Private room,90,2,0,7,349
63913,"HOSTING YOUR  SUNNY, SPACIOUS NYC ROOM",312288,Paula,Manhattan,Inwood,Private room,75,7,0,2,323
64015,Prime East Village 1 Bedroom,146944,David,Manhattan,East Village,Entire home/apt,200,3,0,1,0
65556,"Room in S3rd/Bedford, Williamsburg",320422,Marlon,Brooklyn,Williamsburg,Private room,60,3,0,1,0
89427,The Brooklyn Waverly,116599,Sahr,Brooklyn,Clinton Hill,Entire home/apt,650,5,0,3,365
94209,LARGE 1BR (CONV 2BR) CROWN HEIGHTS,503800,Sadatu,Brooklyn,Crown Heights,Entire home/apt,100,90,0,1,365
118680,Spacious East Village apt near it all,599354,Bobby,Manhattan,East Village,Private room,87,2,0,1,0
145188,Parisian apartment in Chelsea,703156,Kristin,Manhattan,Chelsea,Entire home/apt,200,4,0,1,0
149287,Your own apartment off Park Avenue,720320,Nancy,Manhattan,Upper East Side,Entire home/apt,250,4,0,1,0
152071,Park Slope Apartment,731855,Wendy,Brooklyn,Park Slope,Entire home/apt,150,2,0,1,8
